"Data Source","World Development Indicators",

"Last Updated Date","2017-03-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bahrain","BHR","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.18737424547284","5.04119375468111","5.39072995969548","5.34956272694727","5.1734018738224","4.79676297157238","5.04293270465644","5.09780902702597","5.66427250440841","5.01305503165515","3.73277443448614","4.10363792390765","3.56463389484186","3.30681072610287","4.21683836344847","1.16184537753338","1.1661564552523","1.14509796242081","1.23581686284367","1.3631667858969","1.17622843572582","1.11415427079482","","1.06989635327994","","","",
"Bahamas, The","BHS","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","14.5029065434491","16.7457305502846","16.3032539416303","17.2403052484037","15.9046283309958","16.2542047092744","15.2658347722552","14.9629296787239","14.602173151069","13.5082050307293","14.196675900277","13.2771544755279","13.5821094317279","13.7027300303337","","14.0849568827851","13.1743958197257","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8822219121406","21.6867285604694","21.3974496867264","20.3141077335623","18.9605013977038","19.7000140636424","20.3224260222236","20.5007238483636","19.7778885682037","19.8172706811392","19.9688147877335","",
"Belarus","BLR","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.4434829637642","26.6309422319653","24.7499044578828","19.8877124542637","18.7997552116564","20.7345853025692","17.1123265017102","16.6724778463851","16.6247345026167","15.7546642442876","14.2010383230738","17.6881219095961","18.3713469008917","20.1496562779039","22.2230966228065","23.7266987288672","25.3533892055523","19.2596284110703","16.9158136015506","15.001596795237","15.1402031279019","13.7989098007474","13.1497280857973","14.6521529220651","",
"Belize","BLZ","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4061251664447","20.7109742461983","19.9355857170947","19.5219057681118","19.9161180152934","18.7529307879312","19.5388470990381","19.655231464815","19.6984016298002","17.4015109336991","17.8275942197101","18.7020149780825","19.299784778723","19.1743212703593","19.6634104464006","21.3039128421717","21.7841115238476","22.9225242667376","21.6836035309559","22.4549485482671","23.5755797937158","22.5375946993749","22.4543387305948","23.1418682753607","23.2357466923325","","",
"Bermuda","BMU","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","8.25811294089406","8.01995435078253","7.94905263902504","7.28055157095923","7.09474294200697","7.23622455957132","7.93272969948769","8.89978861639267","9.51634551726199","10.0454683908601","9.72232946393514","12.2938524583722","12.620346055287","13.5465290639342","12.0397851365894","12.330802904887","11.7825459584955","13.184104859735","12.9730002345066","15.0163488230343","16.2151641869683","16.8161682173735","16.9648957779373","","","","","","","","","",
"Brazil","BRA","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","12.1133874132003","12.2289274731164","11.8715410084698","12.5364620033176","10.3084325814898","10.5676286414884","10.8388842849553","10.0974709555919","9.83010507720893","9.93085106215959","12.0091242848293","9.52972648557028","9.73379539867745","10.5001503202562","11.6428205077901","","","10.1955069326502","11.9522881333388","13.1676716837768","13.7748451715991","14.5597576020639","15.7200714371672","15.2443782233168","15.7527804880155","16.5289743327422","15.3813110875926","15.7755334686389","15.4928141750458","14.4175287425293","13.7861882765124","14.3985175012022","13.8501675363217","13.6539865872635","13.1485908682646","","",
"Barbados","BRB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.7396330921304","25.2619907799994","26.1999252008931","24.7806759227547","26.6900161310057","26.4787241833279","23.9857657790686","25.1751432212194","27.7167998600801","26.0260545650118","24.6728995308347","","","",
"Brunei Darussalam","BRN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","5.42969545157606","6.27833472253946","7.20804942537648","6.37929185166339","6.75370239737532","","5.97022752058754","5.19127712718609","4.41394270965256","4.95247801880619","5.04877265136773","6.23357039072189","5.92463011173419","6.61170560046873","7.53024467648853","6.53889839316487","8.01373770379845","7.01519789586183","10.0178503287254","8.52733957641592","9.24916629341285","9.36550782893757","7.68269685762774","8.34657789065903","9.03099068218882","7.5194672695063","8.41593233961713","9.23552702504043","13.1432965226147","13.5075777539729","14.7041481596257","14.3778834457536","13.3368926386372","","",
"Botswana","BWA","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.5016129375315","25.557193488693","27.8455400724745","23.6847992198649","19.9167439175835","16.7657958548749","14.9371078939367","","","","","","","","","","26.9325573337029","25.7128158313548","27.3742013363458","27.2860533382222","23.6044320765442","23.168003659004","26.6244546630934","25.7845220830642","26.4072139411662","","",
"Central African Republic","CAF","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.21197995714737","","","","8.28435802352509","8.21724832628269","9.06192626615943","8.29724754017343","9.39246783877462","","","","",
"Canada","CAN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.163120475269","14.4495626046653","14.3571609133277","13.696871373931","13.1145132342082","13.3295053035503","13.9240137079168","14.6159650050559","14.7191652574696","14.7505714536027","14.9073822094015","14.2315903919755","13.425258017978","13.2757745048248","13.3903204530123","13.3421499081176","13.3872847399858","13.3694135232077","12.4210262668013","12.3355440500458","11.760444874682","11.8315383389777","11.6925644390413","11.7354836425248","11.8641610953233","12.1292520299624","",
"Central Europe and the Baltics","CEB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.9064022717326","19.4163218114085","17.4424388081725","17.0960990449592","17.1111018591673","16.3181408893034","15.9662785455235","15.2710840389143","15.4784245464917","16.824918362073","16.2165542843236","16.4964668025849","16.66774442787","17.2324124906188","17.2443457654948","15.7664091852147","15.8983875846757","16.0170952700814","16.0828186201849","15.8060467428142","16.2692607841582","","",
"Switzerland","CHE","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","7.52854627712112","7.54437408398703","7.8469815975313","7.8828781976717","8.04534128910781","7.92075048837147","8.57856877302872","8.22485156117571","8.60886530192621","8.0784782123802","8.15445344538372","7.90683806973438","8.06387777343277","7.43295245702796","7.97293918117635","8.05037917488819","8.47525609563085","8.42508306652517","9.38880175648375","9.00671598806283","10.1999013036668","9.18730782500695","9.15819661165708","9.16663400569133","9.18393852561426","9.38491078532245","9.48015727324137","9.30940861051988","9.96051943459998","9.82029444539162","9.63418825838949","9.7591240629845","9.51023021444578","9.5722846344954","9.49496509058814","","",
"Channel Islands","CHI","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
